country,continent,year,tot_health_sp_pp,tot_health_sp_per_gdp,priv_share_health_sp,pocket_share_health_sp,gov_share_health_sp,gov_health_sp_pp,gov_prop_health_spending,pop,pop_dens,life_exp
Israel,Asia,1996,1380,7.48,29.1,22.5,70.9,981,9.98,5420000,254,77.9
Italy,Europe,1996,1630,7.34,29.4,26.5,70.6,1150,9.93,57100000,195,78.4
Jamaica,Americas,1996,123,4.68,40,NA,60,73.9,5.95,2560000,237,74.1
Japan,Asia,1996,2600,7.05,17.7,14.1,82.3,2140,15.8,127000000,347,80.5
Jordan,Asia,1996,132,8.61,40.3,26.9,59.7,79,14.3,4730000,53.1,71.7
Kazakhstan,NA,1996,58.3,4.35,36.6,35.9,63.4,36.9,13.9,15600000,5.86,64.4
Kenya,Africa,1996,17.7,4.15,59.9,47.4,40.1,7.11,7.6,28600000,49.5,57.4
Kiribati,NA,1996,80.1,9.23,5.01,NA,95,76.1,10.2,78900,97.4,59
Kuwait,Asia,1996,671,3.46,20.6,19.3,79.5,533,6.29,1630000,91.6,79.2
Kyrgyz Republic,NA,1996,24.8,6.31,50.3,46.9,49.7,12.3,14.1,4630000,24.1,65.7
Lao,NA,1996,17.6,4.6,42,38.2,58,10.2,12.3,4950000,21.5,54.8
Latvia,NA,1996,141,6.08,42.2,NA,57.8,81.3,9.51,2480000,39.9,69.2
Lebanon,Asia,1996,414,10.7,70.4,55.3,29.6,123,9.45,3610000,300,73.7
Lesotho,Africa,1996,34.4,7.91,51,38.4,49,16.9,6.31,1930000,58.9,55.4
Liberia,Africa,1996,NA,NA,NA,NA,NA,NA,NA,2160000,22.7,48.9
Libya,Africa,1996,188,3.27,51.2,51.2,48.8,91.5,5.55,5040000,2.86,71.9
Lithuania,NA,1996,131,5.58,29.6,NA,70.4,92,10.8,3600000,57.5,70.4
Luxembourg,NA,1996,2810,5.65,7.2,7.17,92.8,2610,12.8,414000,160,76.6
Madagascar,Africa,1996,9.3,3.15,40.9,21.7,59.1,5.5,10.5,13900000,23.9,57.4
Malawi,Africa,1996,10.6,4.66,72.9,33.8,27.1,2.86,5.06,10000000,107,45.1
Malaysia,Asia,1996,137,2.88,38.4,27,61.6,84.2,7.97,21000000,64,72.1
Maldives,NA,1996,112,6.32,43,20.9,57,63.9,11.2,259000,864,69.2
Mali,Africa,1996,21.6,7.84,60.4,60.4,39.6,8.54,13.6,9840000,8.08,51.5
Malta,NA,1996,639,6.22,31.6,NA,68.4,437,9.99,380000,1200,77.8
Marshall Islands,NA,1996,412,21.8,14.4,10.8,85.6,353,19.4,50500,286,62.4
Mauritania,Africa,1996,23.3,3.81,51.1,48.3,48.9,11.4,7.57,2370000,2.33,61.7
Mauritius,Africa,1996,135,3.52,45.9,34,54.1,73.2,8.51,1140000,563,71
Mexico,Americas,1996,183,4.68,58.6,NA,41.4,75.8,13.3,93100000,49.2,73.2
"Micronesia, Fed. Sts.",NA,1996,175,8.62,5.46,5.46,94.5,165,11.3,108000,155,64.8
Moldova,NA,1996,40.4,10.3,34.7,27.4,65.3,26.4,15.1,4320000,131,66.6
Monaco,NA,1996,2770,2.96,10.5,7,89.5,2480,13,31000,20800,NA
Mongolia,Asia,1996,21,4.15,16.6,13.4,83.4,17.6,12.7,2320000,1.49,60.5
Montenegro,Europe,1996,102,7.69,29.1,29.1,70.8,72.1,16.9,620000,46.1,74.1
Morocco,Africa,1996,51.6,3.84,68.1,52.8,31.9,16.4,4.41,27400000,61.5,68.2
Mozambique,Africa,1996,8.43,4.27,39.1,16.4,60.9,5.13,14.1,16000000,20.7,50.6
Myanmar,Asia,1996,2.54,2.12,84.3,83.3,15.8,0.4,1.24,44500000,67,57.2
Namibia,Africa,1996,135,6.57,27.6,6.03,72.4,97.6,12.8,1660000,2.07,58.9
Nauru,NA,1996,476,14.2,18.1,2.85,81.9,390,5.43,10700,501,NA
Netherlands,Europe,1996,2210,8.21,33.8,8.12,66.2,1460,11,15600000,462,77.6
New Zealand,Oceania,1996,1280,7.02,23.3,16.3,76.7,980,13.3,3720000,14.1,76.8
Nicaragua,Americas,1996,58.3,8.31,40.8,NA,59.2,34.5,18.2,4740000,39.1,73.2
Niger,Africa,1996,6.78,3.19,62.5,50.3,37.5,2.54,9.27,9830000,7.75,49.4
Nigeria,Africa,1996,51.2,4.51,79.2,75,20.8,10.6,7.05,111000000,122,55.2
