country,continent,year,tot_health_sp_pp,tot_health_sp_per_gdp,priv_share_health_sp,pocket_share_health_sp,gov_share_health_sp,gov_health_sp_pp,gov_prop_health_spending,pop,pop_dens,life_exp
St. Vincent and the Grenadines,NA,1998,123,4.17,18.9,NA,81.1,99.5,8.53,108000,277,71
Sudan,Africa,1998,13.8,4,76.7,71.3,23.3,3.22,12,26000000,14.7,62.1
Suriname,NA,1998,178,8.61,46.7,NA,53.3,95,8.84,460000,2.96,69.8
Swaziland,Africa,1998,84.4,5.56,47.7,16.7,52.3,44.1,11.3,980000,59.7,52.6
Sweden,Europe,1998,2340,8.12,14.2,13.6,85.8,2000,11.8,8870000,21.6,79.5
Switzerland,Europe,1998,3850,10.1,45.3,32.9,54.7,2110,15.4,7090000,180,79.8
Syria,Asia,1998,56.7,5.12,61.7,61.7,38.3,21.7,6.53,15600000,85,71.4
Tajikistan,NA,1998,7.79,3.56,67.9,66.3,32.1,2.5,8.21,6030000,43,66.6
Tanzania,Africa,1998,9.8,3.4,58.5,48.9,41.5,4.06,10.2,31900000,36.6,52.8
Thailand,Asia,1998,67.8,3.73,45.2,35.4,54.8,37.1,8.25,61600000,121,71.4
Timor-Leste,NA,1998,29.6,19.3,16.5,5.09,83.5,24.7,6.71,867000,58.2,63.7
Togo,Africa,1998,16.4,4.66,63.4,54.8,36.6,6.01,8.48,4630000,86,56.9
Tonga,NA,1998,91.3,5.87,31.5,24.4,68.5,62.5,14.4,97000,135,70.7
Trinidad and Tobago,Americas,1998,174,3.68,60.5,NA,39.5,68.5,4.33,1260000,246,70
Tunisia,Africa,1998,122,5.71,47.6,40.6,52.4,64,7.77,9510000,61.1,73.6
Turkey,Europe,1998,155,3.59,28.1,28,71.9,111,11.5,61300000,79.7,72.3
Turkmenistan,NA,1998,31.3,4.81,27.2,27.2,72.8,22.8,14.2,4410000,9.39,65.1
Tuvalu,NA,1998,120,8.79,0.25,NA,99.8,120,6.33,9330,310,NA
Uganda,Africa,1998,14.8,5.32,71.2,50.7,28.8,4.26,9.85,22300000,113,47.9
Ukraine,NA,1998,55.6,6.62,46.5,42.9,53.5,29.7,9.3,49700000,85.9,68.8
United Arab Emirates,NA,1998,839,3.06,32.7,25.1,67.3,565,8,2810000,33.9,72.2
United Kingdom,Europe,1998,1660,6.66,19.7,14.2,80.3,1330,13.6,58500000,242,77.4
United States,Americas,1998,4240,13.4,56.5,15,43.5,1840,16.8,275000000,30.1,76.8
Uruguay,Americas,1998,661,8.57,56.4,NA,43.6,288,12.7,3290000,18.8,74
Uzbekistan,NA,1998,39.8,6.43,54.2,52.8,45.8,18.2,6.2,24000000,56.7,67.3
Vanuatu,NA,1998,57.6,3.91,22.2,15.9,77.8,44.8,10.5,178000,14.6,63.2
Venezuela,Americas,1998,176,4.51,67.5,NA,32.5,57.1,6.19,23300000,26.7,73.7
Vietnam,Asia,1998,17.5,4.94,65,63.5,35,6.12,7.62,78100000,253,71.1
Yemen,NA,1998,21.6,5.4,53.2,49.5,46.8,10.1,7.83,16500000,32,62.2
Zambia,Africa,1998,21.8,6.53,37.8,33.3,62.2,13.6,13.3,9870000,13.4,45.5
Zimbabwe,Africa,1998,52.7,10.8,44.1,33.2,55.9,29.4,12.1,11700000,30.7,48.5
Afghanistan,Asia,1999,NA,NA,NA,NA,NA,NA,NA,20200000,29.7,54.4
Albania,Europe,1999,65,5.83,56.7,56.6,43.3,28.1,7.18,3120000,114,74.6
Algeria,Africa,1999,62.5,3.87,27.1,26.3,72.8,45.5,9.44,30600000,12.9,73.9
Andorra,NA,1999,1430,7.35,33.9,25.1,66.2,942,20.8,64400,137,80.9
Angola,Africa,1999,8.82,1.94,25.8,25.8,74.2,6.55,1.76,15900000,12.8,50.7
Antigua and Barbuda,NA,1999,401,4.68,30.7,26.7,69.3,278,11.8,74700,186,74.6
Argentina,Americas,1999,726,9.35,44.9,28.6,55.1,400,15.1,36500000,13.4,73.6
Armenia,NA,1999,34,5.7,71.7,67.1,28.3,9.63,6.87,3090000,109,71.9
Australia,Oceania,1999,1750,7.76,31.6,18.6,68.4,1190,15.4,18800000,2.46,79.3
Austria,Europe,1999,2670,10.1,23.3,15.2,76.8,2050,14.4,8050000,97.7,78
Azerbaijan,NA,1999,30.8,5.4,81.7,64.3,18.3,5.62,5.71,8050000,97.4,66.3
Bahamas,NA,1999,1060,6.06,53.3,21.4,46.8,497,14.4,294000,29.3,71.1
Bahrain,Asia,1999,496,4.67,30.8,22.2,69.2,343,11.2,637000,838,72.4
Barbados,NA,1999,569,6.12,34.6,NA,65.4,372,11.9,270000,625,74.7
Belarus,NA,1999,74,6.16,23.5,13.2,76.5,56.6,9.97,9920000,49.2,68
Belgium,Europe,1999,2010,8.08,25.4,20.9,74.6,1500,12,10300000,339,77.7
Belize,NA,1999,109,3.65,44.3,NA,55.8,61,6.11,239000,10.5,70.4
Benin,Africa,1999,18,4.59,54,53.9,46,8.3,12.5,6660000,59.1,57.4
Bhutan,NA,1999,50.5,7.07,24.4,24.4,75.7,38.2,12.6,578000,14.6,65.9
Bolivia,Americas,1999,63.1,6.2,41.9,NA,58.1,36.7,10.5,8260000,7.55,65.9
Bosnia and Herzegovina,Europe,1999,114,8.73,45.5,45.5,54.5,61.9,10.4,3740000,73.7,75.2
Botswana,Africa,1999,131,3.85,42.2,15.3,57.8,75.5,5.79,1610000,3,55.3
Brazil,Americas,1999,242,7.09,57.3,NA,42.7,103,5.48,172000000,20.7,71
Brunei,NA,1999,589,4.47,22.2,22.1,77.8,458,6.02,326000,61.9,73.7
Bulgaria,Europe,1999,96.3,5.97,33.7,NA,66.3,63.9,9.91,8070000,74.3,71.5
Burkina Faso,Africa,1999,13.3,5.26,58.8,55.5,41.2,5.47,9.31,11300000,41.2,51.9
Burundi,Africa,1999,7.22,5.61,71.2,47.2,28.8,2.08,6.38,6270000,245,44.6
Cambodia,Asia,1999,17.8,6.18,81.8,71,18.2,3.23,8.24,11900000,67.3,59.8
Cameroon,Africa,1999,29,4.43,81.2,76.7,18.8,5.45,5.03,15100000,31.5,55.1
Canada,Americas,1999,1940,8.9,30,16.4,70,1360,14.6,30300000,3.35,78.9
Cape Verde,NA,1999,62.2,4.47,26.1,26,73.9,46,9.01,420000,106,70.7
Central African Republic,Africa,1999,10.2,3.51,61.6,58.5,38.4,3.9,6.69,3560000,5.9,44.4
Chad,Africa,1999,11.3,5.87,66.1,63.6,33.9,3.84,11.9,8050000,6.39,52.3
Chile,Americas,1999,395,8.22,60.1,NA,39.9,158,13.4,15200000,20.3,76.3
China,Asia,1999,38.6,4.51,59.1,55.9,40.9,15.8,11.7,1280000000,136,71.7
Colombia,Americas,1999,206,9.34,23.7,NA,76.3,157,23.1,39000000,35.9,73.9
Comoros,Africa,1999,13.2,3.24,39.4,39.4,60.6,7.98,10.5,529000,284,61.3
"Congo, Dem. Rep.",Africa,1999,11.5,4.32,94.3,68.5,5.73,0.659,2.6,45900000,20.2,53.4
"Congo, Rep.",Africa,1999,23.5,3.05,42.5,42.5,57.5,13.5,5.34,3040000,9.18,51.9
Costa Rica,Americas,1999,255,6.19,23.7,NA,76.3,195,20.9,3890000,75.4,77.3
Cote d'Ivoire,Africa,1999,42.9,5.55,76.9,75.7,23.1,9.9,6.51,16000000,51.3,52
Croatia,Europe,1999,372,7.34,12.7,NA,87.3,325,13.5,4460000,79.6,74
Cuba,Americas,1999,154,6.05,9.5,NA,90.5,139,11.1,11100000,104,76.4
Cyprus,NA,1999,781,5.6,57.3,54.6,42.7,333,6.51,926000,100,76.7
Czech Republic,Europe,1999,384,6.35,9.52,9.52,90.5,347,13.6,10300000,133,74.8
Denmark,Europe,1999,2930,8.95,16.1,14.6,84,2460,13.6,5320000,125,76.3
Djibouti,Africa,1999,46.9,6.22,29.2,28.8,70.8,33.2,13.3,700000,30.2,60.4
Dominica,NA,1999,227,5.93,30.1,NA,69.9,159,8.45,69800,93.2,73.6
Dominican Republic,Americas,1999,150,5.93,66.2,NA,33.8,50.7,14.1,8340000,174,73.6
Ecuador,Americas,1999,64.9,4.73,60.6,NA,39.4,25.6,9.82,12400000,49.9,73.9
Egypt,Africa,1999,72.8,5.34,59.6,57.8,40.4,29.4,7.2,67500000,68.9,68.2
El Salvador,Americas,1999,168,7.97,56.6,NA,43.4,72.9,13.7,5840000,281,71.8
Equatorial Guinea,Africa,1999,39.9,2.3,54.3,50.6,45.7,18.2,7.39,582000,21,54.1
Eritrea,Africa,1999,9.08,4.67,57.2,57.2,42.8,3.88,2.05,2240000,32.7,43.4
Estonia,NA,1999,271,6.56,27.6,12.6,72.4,196,11.8,1400000,33.1,70.6
Ethiopia,Africa,1999,4.51,3.89,53.4,42.5,46.6,2.1,6.99,64300000,64.6,50.3
Fiji,NA,1999,75.1,3.12,19.6,12.4,80.4,60.3,8.39,806000,44.1,65.9
Finland,Europe,1999,1860,7.37,28.5,22.4,71.5,1330,10.2,5180000,17,77.6
France,Europe,1999,2450,10.2,20.6,7.16,79.5,1950,15.3,58700000,108,78.8
Gabon,Africa,1999,116,2.99,64.4,64.4,35.6,41.1,3.92,1200000,4.66,59.7
Gambia,Africa,1999,19.8,5.76,65.1,35,34.9,6.89,8.85,1280000,118,61.5
Georgia,NA,1999,36.7,6.29,81.9,81.7,18.1,6.65,5.48,4460000,68.7,73
Germany,Europe,1999,2690,10.4,20.2,11.2,79.8,2150,17.1,81400000,234,78
Ghana,Africa,1999,20.5,4.97,49.7,32.1,50.3,10.3,10.1,18800000,81.2,59.4
Greece,Europe,1999,1110,8.62,46.6,44.7,53.4,595,10.4,11000000,86,78.6
Grenada,NA,1999,292,7.78,52.4,NA,47.6,139,11.8,102000,298,73.6
Guatemala,Americas,1999,79.9,4.79,51.1,NA,48.9,39,16.4,11400000,106,68.1
Guinea,Africa,1999,23.7,5.62,81.6,81.2,18.4,4.35,6.42,8050000,35.2,54.5
Guinea-Bissau,Africa,1999,10.6,5.75,74.7,39.9,25.3,2.69,4.65,1180000,43.4,50.9
Guyana,NA,1999,42.8,4.51,20.8,NA,79.2,33.9,10,750000,3.84,66.7
Haiti,Americas,1999,27.2,5.65,70,NA,30,8.17,14.9,8320000,305,56.8
Honduras,Americas,1999,50.7,5.7,49,NA,51,25.9,12.3,6400000,56.8,70.1
Hungary,Europe,1999,345,7.32,27.6,24.9,72.4,250,10.8,10200000,113,71
Iceland,Europe,1999,3220,10.2,16.9,16.9,83.1,2680,20.1,278000,2.77,79.8
India,Asia,1999,18.2,4.17,72,65.6,28,5.1,3.7,1040000000,348,62.6
Indonesia,Asia,1999,15.2,2.28,65.4,47.9,34.6,5.25,3.74,209000000,115,67
Iran,Asia,1999,178,4.59,57.6,55.4,42.4,75.3,8.38,64800000,40,73.3
Iraq,Asia,1999,15.2,1.73,96.8,96.8,3.18,0.48,0.1,22800000,52.7,66.6
Ireland,Europe,1999,1560,6.01,24.7,15,75.3,1170,13.3,3730000,55.1,76.3
Israel,Asia,1999,1320,7.32,34,27.2,66,873,9.58,5820000,272,78.5
Italy,Europe,1999,1640,7.74,29.3,26.1,70.8,1160,11.4,56700000,194,79.2
Jamaica,Americas,1999,162,4.69,49.7,NA,50.3,81.3,5.62,2630000,243,73.7
Japan,Asia,1999,2600,7.55,19.3,15.4,80.7,2100,15.8,127000000,349,81
Jordan,Asia,1999,161,9.36,46.7,33.8,53.3,85.6,11.9,5030000,56.5,72.4
Kazakhstan,NA,1999,49.1,4.39,47.7,46.9,52.3,25.7,9.88,15000000,5.62,66
Kenya,Africa,1999,17.8,4.2,60.1,48.4,39.9,7.08,7.38,31100000,53.8,55.8
Kiribati,NA,1999,76.1,8.94,5.14,NA,94.9,72.2,9.15,83000,102,59.2
Kuwait,Asia,1999,596,3.67,20.6,19.2,79.4,473,6.61,1950000,110,78.6
Kyrgyz Republic,NA,1999,15.3,5.99,51.5,45.9,48.5,7.41,15.7,4860000,25.3,66.7
Lao,NA,1999,10.4,3.72,69,63.4,31,3.21,6.93,5240000,22.7,56.5
Latvia,NA,1999,196,6.43,41.6,NA,58.4,115,8.96,2410000,38.7,70.2
Lebanon,Asia,1999,490,10.4,70.9,56.8,29.1,143,9.38,3750000,309,75.1
Lesotho,Africa,1999,27.6,6.83,51.5,37.6,48.5,13.4,5.89,2020000,61,50.5
Liberia,Africa,1999,8.55,5.25,70.9,35,29.1,2.49,10.6,2700000,28.4,53.2
Libya,Africa,1999,215,3.63,49.8,49.8,50.2,108,5.55,5280000,3,73.2
Lithuania,NA,1999,193,6.2,25.1,NA,74.9,145,11.6,3530000,56.3,72.2
Luxembourg,NA,1999,2870,5.83,10.2,7.34,89.8,2580,13.3,431000,167,77.7
Madagascar,Africa,1999,8,3.2,38.9,20.6,61.1,4.88,12.1,15300000,26.3,58.6
Malawi,Africa,1999,10.6,6.51,65.1,25,34.9,3.7,6.54,10900000,117,44.3
Malaysia,Asia,1999,107,3.08,41,29.1,59,62.9,8.02,22700000,69,72.6
Maldives,NA,1999,143,6.51,42.6,21,57.4,81.9,10.3,274000,915,71.4
Mali,Africa,1999,16.2,6.05,69.9,69.7,30.1,4.87,7.88,10600000,8.74,52.9
Malta,NA,1999,657,6.59,30.2,NA,69.8,459,10.7,391000,1230,78.3
Marshall Islands,NA,1999,374,20.4,14.5,10.9,85.5,320,19.4,50400,289,62.1
Mauritania,Africa,1999,27.6,5.95,32.3,30.5,67.7,18.7,16,2560000,2.55,63.1
Mauritius,Africa,1999,126,3.44,46,33.6,54,68.2,8.21,1180000,579,71.8
Mexico,Americas,1999,277,5.1,52.2,NA,47.8,132,17.3,97500000,51.6,74.1
"Micronesia, Fed. Sts.",NA,1999,156,7.82,6.39,6.39,93.6,146,9.71,108000,154,65.4
Moldova,NA,1999,16.6,5.89,50.7,43.7,49.3,8.16,7.93,4230000,129,68.6
Monaco,NA,1999,2810,3.37,12.4,7,87.6,2460,12.5,31800,21300,NA
Mongolia,Asia,1999,17.9,4.72,17.6,12.1,82.5,14.7,9.95,2380000,1.53,61.6
Montenegro,Europe,1999,102,7.73,29.5,29.5,70.5,71.6,16.9,615000,45.7,73.8
Morocco,Africa,1999,55.7,3.98,71.2,54.6,28.8,16.1,4.13,28500000,63.9,68.9
Mozambique,Africa,1999,13.3,5.18,31.2,13.8,68.8,9.12,16.1,17200000,22.4,50.6
Myanmar,Asia,1999,2.6,1.8,89.5,88.8,10.5,0.27,0.779,46200000,69.7,58.3
Namibia,Africa,1999,128,6.97,26.7,5.67,73.3,93.5,13.3,1760000,2.26,55.7
Nauru,NA,1999,364,13.5,17,2.67,83,302,12.4,10400,502,NA
Netherlands,Europe,1999,2110,8.09,37.3,8.99,62.7,1320,11,15800000,470,78
New Zealand,Oceania,1999,1150,7.53,22.5,15.9,77.5,894,14.7,3820000,14.5,77.9
Nicaragua,Americas,1999,51.7,6.9,54.2,NA,45.8,23.7,11.2,4990000,41.1,74.6
Niger,Africa,1999,7.05,3.69,56.3,45.3,43.7,3.08,8.59,10900000,8.64,51.3
Nigeria,Africa,1999,16.1,5.43,70.9,67.2,29.1,4.7,5.4,119000000,131,55.2
North Macedonia,NA,1999,165,8.72,40.4,40.1,59.6,98.1,15.1,2020000,80.3,73.8
Norway,Europe,1999,3330,9.33,17.4,16.6,82.6,2750,16.1,4470000,12.2,78.5
Oman,Asia,1999,243,3.54,18.3,11.9,81.7,199,7.62,2250000,7.29,72.7
Pakistan,Asia,1999,15.6,3.71,81,66.6,19,2.97,2.37,139000000,176,61.7
Palau,NA,1999,721,12,29.9,22.3,70.1,505,13.2,18800,41,NA
Panama,Americas,1999,271,6.86,33.7,NA,66.3,180,18.9,2970000,40,77
Papua New Guinea,NA,1999,26.8,4.09,17.6,8.58,82.4,22.1,10.3,5720000,12,56
Paraguay,Americas,1999,109,7.82,55.4,NA,44.6,48.6,16.9,5220000,13.1,74.5
Peru,Americas,1999,98.4,4.86,43.4,NA,56.6,55.7,14.6,26100000,20,74.2
Philippines,Asia,1999,35.4,3.23,55.8,43.3,44.2,15.7,7.85,76300000,256,69.5
Poland,Europe,1999,251,5.74,28.9,28.9,71.1,179,9.55,38600000,126,73.2
Portugal,Europe,1999,986,7.96,32.4,23.7,67.6,666,13.1,10300000,113,76.3
Qatar,NA,1999,632,2.91,32.8,29,67.2,424,5.02,570000,49,73.5
Romania,Europe,1999,82.3,5.13,34.5,NA,65.5,53.9,8.57,22300000,96.8,70.7
Russia,NA,1999,77.1,5.8,38.1,27.5,61.9,47.7,11.8,147000000,8.97,66.2
Rwanda,Africa,1999,11.2,4.65,54.7,22.4,45.3,5.05,9.11,7500000,308,49
Samoa,NA,1999,82.3,6.28,23.7,20.3,76.3,62.8,19.5,174000,61.4,71.6
San Marino,NA,1999,2390,7.44,14,NA,86,2060,20.6,27100,452,NA
Sao Tome and Principe,Africa,1999,50.5,8.98,59.4,45.4,40.6,20.5,8.65,140000,142,64.2
Saudi Arabia,Asia,1999,339,4.13,32.1,22.3,67.9,231,9.2,20200000,9.44,74.5
Senegal,Africa,1999,24.2,4.36,63,58.3,37,8.96,8.38,9570000,50.1,60.1
Serbia,Europe,1999,128,7.41,30,25.4,70,89.9,13.5,9580000,110,69.4
Seychelles,NA,1999,424,5.29,16,15.8,84,356,7.77,79900,174,71.4
Sierra Leone,Africa,1999,26.6,16,88.5,84.3,11.5,3.05,8.78,4460000,61.5,49.2
Singapore,Asia,1999,632,2.86,47.5,45.3,52.5,332,8.23,3950000,5450,79
Slovak Republic,Europe,1999,218,5.75,10.4,NA,89.6,196,10.7,5400000,112,73.1
Slovenia,Europe,1999,877,7.8,24.3,NA,75.7,664,12.8,1990000,98.7,75.6
Solomon Islands,NA,1999,46.1,5.6,6.83,3.82,93.2,43,17.3,402000,14.3,61.5
Somalia,Africa,1999,7.43,2.81,55,55,45,3.34,4.2,8550000,13.9,52.1
South Africa,Africa,1999,274,9.06,60.7,13.9,39.3,108,10.7,44300000,37.1,57.7
South Korea,NA,1999,423,4.26,49.8,40.5,50.2,212,9.22,47000000,484,75.9
Spain,Europe,1999,1130,7.32,28,NA,72,816,13.2,40500000,81.3,78.9
Sri Lanka,Asia,1999,30.4,3.61,52.4,44.7,47.6,14.4,6.81,18700000,298,71.6
St. Kitts and Nevis,NA,1999,358,5.35,43.2,NA,56.8,204,9.58,43600,172,NA
St. Lucia,NA,1999,224,5.01,38.4,NA,61.6,138,11.1,155000,254,73.3
St. Vincent and the Grenadines,NA,1999,128,4.15,16.7,NA,83.3,106,8.49,108000,277,71.1
Sudan,Africa,1999,12.2,3.8,80.3,74.5,19.7,2.4,8.87,26600000,15.1,62.8
Suriname,NA,1999,151,7.62,48.8,NA,51.3,77.5,10.7,465000,2.99,69.6
Swaziland,Africa,1999,78.7,5.38,43.6,17.9,56.4,44.3,10.5,994000,60.8,50.4
Sweden,Europe,1999,2400,8.2,14.3,13.4,85.7,2050,12.1,8870000,21.6,79.6
Switzerland,Europe,1999,3820,10.2,44.9,33.4,55.1,2110,16.4,7120000,181,80.1
Syria,Asia,1999,58.8,5.25,61.6,61.6,38.4,22.5,6.46,16000000,87.2,71.9
Tajikistan,NA,1999,6.9,3.88,73.2,71,26.8,1.85,6.99,6120000,43.7,67.5
Tanzania,Africa,1999,9.62,3.29,60.2,50.2,39.8,3.83,10.2,32700000,37.6,53.1
Thailand,Asia,1999,68.7,3.5,45.1,34.5,54.9,37.7,7.29,62300000,122,71.3
Timor-Leste,NA,1999,32.6,9.95,31.9,9.86,68.1,22.2,8.66,873000,58.1,58.5
Togo,Africa,1999,15.9,4.71,68.6,59.7,31.4,5.01,8.48,4780000,88.7,57
Tonga,NA,1999,103,6.52,26.7,20.7,73.3,75.2,17.2,97500,136,70.7
Trinidad and Tobago,Americas,1999,225,4.25,55.5,NA,44.5,100,6.4,1260000,247,69.8
Tunisia,Africa,1999,128,5.76,48.3,40.4,51.7,66.2,7.89,9610000,61.8,73.9
Turkey,Europe,1999,186,4.77,38.9,29.1,61.1,114,10.3,62300000,80.9,72.3
Turkmenistan,NA,1999,29.9,3.45,30.9,30.9,69.1,20.7,12.3,4470000,9.5,65.9
Tuvalu,NA,1999,136,9.31,0.23,NA,99.8,136,6.52,9340,312,NA
Uganda,Africa,1999,16.1,6.27,69.4,42.7,30.6,4.91,11.3,23000000,116,48.6
Ukraine,NA,1999,37.7,5.89,50.1,46.1,49.9,18.8,8.62,49300000,85.1,68.4
United Arab Emirates,NA,1999,847,2.91,34,26.2,66,559,8.01,2970000,35.7,71.9
United Kingdom,Europe,1999,1760,6.89,19.5,13.7,80.6,1420,14.3,58700000,243,77.6
United States,Americas,1999,4450,13.3,56.9,14.8,43.1,1920,16.8,279000000,30.5,76.8
Uruguay,Americas,1999,628,8.66,26.6,NA,73.3,461,21,3310000,18.9,74.2
Uzbekistan,NA,1999,41.9,6.01,53.3,51.7,46.7,19.6,6.37,24400000,57.6,67.4
Vanuatu,NA,1999,52.1,3.52,25.1,18,74.9,39,10.7,181000,14.9,62.8
Venezuela,Americas,1999,232,5.65,63,NA,37,85.8,8.53,23700000,27.2,70.1
Vietnam,Asia,1999,18,4.88,64.8,61.9,35.2,6.32,7.16,79000000,256,71.3
Yemen,NA,1999,21.7,4.66,50.1,47.5,49.9,10.8,8.49,16900000,32.9,62.8
Zambia,Africa,1999,18.3,5.79,50.6,41.2,49.4,9.02,9.76,10100000,13.8,45.6
Zimbabwe,Africa,1999,36,7.44,51.1,23,48.9,17.6,10,11800000,31.2,47.5
Afghanistan,Asia,2000,NA,NA,NA,NA,NA,NA,NA,20800000,30.8,54.6
Albania,Europe,2000,75.2,6.35,63.9,63.8,36.1,27.2,7.03,3130000,114,74.9
Algeria,Africa,2000,62.6,3.49,26.7,25.8,73.3,45.9,8.96,31000000,13.1,74
Andorra,NA,2000,1330,7.58,35.2,26.6,64.8,862,19.1,65400,139,81.2
Angola,Africa,2000,15.8,2.41,20.8,20.8,79.2,12.5,3.26,16400000,13.2,51.7
Antigua and Barbuda,NA,2000,408,4.77,31,26.9,69,281,12.1,76000,190,74.7
Argentina,Americas,2000,709,9.21,46.1,29.1,53.9,382,14.7,36900000,13.5,74.2
Armenia,NA,2000,39,6.27,81.9,77.1,18.1,7.07,4.61,3070000,108,72.3
Australia,Oceania,2000,1710,8.03,33.2,19.8,66.8,1150,15.1,19000000,2.48,79.5
Austria,Europe,2000,2370,9.9,23.2,15.3,76.8,1820,14.7,8070000,97.9,78.3
Azerbaijan,NA,2000,30.4,4.68,81.5,63.2,18.5,5.64,5.35,8120000,98.3,66.8
Bahamas,NA,2000,1100,5.91,52.4,21.1,47.6,523,14.5,298000,29.8,71.5
Bahrain,Asia,2000,497,3.95,32.5,22.3,67.5,336,10.2,665000,874,72.6
Barbados,NA,2000,601,6.29,34.2,NA,65.8,396,11.7,272000,628,74.8
Belarus,NA,2000,63.5,6.13,24.5,14,75.5,47.9,10.1,9870000,49,68.8
Belgium,Europe,2000,1840,8.12,25.4,20.5,74.6,1380,12.3,10300000,340,77.8
Belize,NA,2000,132,3.96,47.2,NA,52.8,69.5,6.51,247000,10.8,70.3
Benin,Africa,2000,15.7,4.34,55.8,55.7,44.2,6.94,9.99,6870000,60.9,57.5
Bhutan,NA,2000,51.6,6.9,20.7,20.7,79.3,40.9,12.2,591000,15,65.7
Bolivia,Americas,2000,61.4,6.08,39.9,NA,60.1,36.9,9.76,8420000,7.7,66.5
Bosnia and Herzegovina,Europe,2000,106,7.03,42.4,42.4,57.6,60.9,11.4,3750000,73.9,75.3
Botswana,Africa,2000,152,4.74,37.8,13.9,62.2,94.4,7.56,1640000,3.05,54
Brazil,Americas,2000,265,7.16,59.7,NA,40.3,107,4.08,175000000,21,71.4
Brunei,NA,2000,551,4.18,13.5,13.3,86.5,477,6.25,333000,63.2,73.8
Bulgaria,Europe,2000,97.7,6.18,39.1,NA,60.9,59.5,9.13,8000000,73.7,71.6
Burkina Faso,Africa,2000,10.9,5.13,60.4,57,39.6,4.32,8.76,11600000,42.4,52.4
Burundi,Africa,2000,7.04,6.33,71.4,50.4,28.6,2.01,7.46,6380000,249,44.9
Cambodia,Asia,2000,18.6,6.32,79.6,71.2,20.4,3.81,8.73,12200000,68.8,60.2
Cameroon,Africa,2000,26.5,4.47,79.2,74.7,20.8,5.53,6.09,15500000,32.3,54.8
Canada,Americas,2000,2090,8.84,29.6,15.9,70.4,1470,15.1,30600000,3.38,79.2
Cape Verde,NA,2000,57.2,4.64,26.5,26.4,73.5,42,9.57,428000,108,71.2
Central African Republic,Africa,2000,9.97,3.85,58.6,55.6,41.4,4.13,10.1,3640000,6.03,44.3
Chad,Africa,2000,10.6,6.28,57.5,55.3,42.5,4.49,13.1,8360000,6.63,52.1
Chile,Americas,2000,405,8.28,58.4,NA,41.6,169,14.1,15300000,20.5,76.9
China,Asia,2000,43.4,4.62,61.7,59,38.3,16.6,10.9,1290000000,137,72.1
Colombia,Americas,2000,184,7.31,29.3,NA,70.8,131,21.4,39600000,36.4,74.1
Comoros,Africa,2000,10.4,2.89,47.3,47.3,52.8,5.47,9.32,542000,291,61.6
"Congo, Dem. Rep.",Africa,2000,13.3,4.85,95.9,72.4,4.08,0.543,1.79,47100000,20.8,53.8
"Congo, Rep.",Africa,2000,21.7,2.11,42.3,42.3,57.7,12.5,4.78,3130000,9.45,52.8
Costa Rica,Americas,2000,266,6.53,23.2,NA,76.8,204,21.7,3960000,76.9,77.9
Cote d'Ivoire,Africa,2000,31.8,5.06,73.7,72.3,26.3,8.35,7.25,16500000,52.5,52.3
Croatia,Europe,2000,377,7.76,13.9,NA,86.1,325,14.5,4430000,79.1,74.5
Cuba,Americas,2000,168,6.12,9.9,NA,90.1,151,10.8,11100000,105,76.8
Cyprus,NA,2000,744,5.77,58.4,55.9,41.6,310,6.48,943000,102,76.8
Czech Republic,Europe,2000,361,6.31,9.68,9.68,90.3,326,13.7,10300000,133,75
Denmark,Europe,2000,2610,8.7,16.1,14.7,83.9,2190,13.6,5340000,126,77
Djibouti,Africa,2000,43.7,5.81,32.2,31.7,67.8,29.6,12,718000,31,60.5
Dominica,NA,2000,231,5.94,31,NA,69,160,6.64,69700,92.9,73.7
Dominican Republic,Americas,2000,175,6.35,65.5,NA,34.5,60.4,15.9,8470000,177,73.9
Ecuador,Americas,2000,53.6,4.15,68.8,NA,31.3,16.7,6.4,12700000,50.8,74.2
Egypt,Africa,2000,78.6,5.43,59.5,58,40.5,31.8,7.34,68800000,70.2,68.7
El Salvador,Americas,2000,177,7.99,54.8,NA,45.2,79.8,14.3,5890000,283,72.4
Equatorial Guinea,Africa,2000,46.4,1.93,53.7,48.8,46.3,21.5,7.83,606000,21.9,55.6
Eritrea,Africa,2000,9.09,5.26,52.4,52.4,47.6,4.33,3.69,2290000,33.6,53.3
Estonia,NA,2000,250,6.04,32.2,17.4,67.8,169,11.3,1400000,33,71
Ethiopia,Africa,2000,5.32,4.3,46.4,36.8,53.6,2.85,8.51,66200000,66.5,50.8
Fiji,NA,2000,79.8,3.85,15.9,10.1,84.1,67.1,11.3,811000,44.4,65.9
Finland,Europe,2000,1700,7.22,28.7,22.3,71.3,1210,10.6,5190000,17.1,77.8
France,Europe,2000,2200,10.1,20.6,7.1,79.4,1750,15.5,59000000,109,79.1
Gabon,Africa,2000,102,2.5,58,58,42,43,4.81,1230000,4.78,59.3
Gambia,Africa,2000,18.8,5.79,66.2,35.6,33.8,6.34,8.83,1320000,122,61.7
Georgia,NA,2000,44.7,6.94,83,82.5,17,7.61,6.92,4360000,68,73.1
Germany,Europe,2000,2390,10.4,20.5,11.4,79.5,1900,18.3,81400000,234,78.3
Ghana,Africa,2000,12.3,4.74,51.3,33,48.7,6,8.33,19300000,83.2,59.4
Greece,Europe,2000,917,7.88,40,37.8,60,550,10.1,11100000,86.4,78.8
